Remaining decisions,Money accumulated,Last outcome was positive,Last outcome was negative,Money accumulated > Loan,Money accumulated < Loan,Current decision,Cards chosen from deck (A),Positive last outcome (A),Negative last outcome (A),Positive cards (A),Negative cards (A),Frequency of positive cards (A),Frequency of negative cards (A),Best outcome (A),Worst outcome (A),decisions without choosing (A),Won money (A),Lost money (A),Cards chosen from deck (B),Positive last outcome (B),Negative last outcome (B),Positive cards (B),Negative cards (B),Frequency of positive cards (B),Frequency of negative cards (B),Best outcome (B),Worst outcome (B),decisions without choosing (B),Won money (B),Lost money (B),Cards chosen from deck (C),Positive last outcome (C),Negative last outcome (C),Positive cards (C),Negative cards (C),Frequency of positive cards (C),Frequency of negative cards (C),Best outcome (C),Worst outcome (C),decisions without choosing (C),Won money (C),Lost money (C),Cards chosen from deck (D),Positive last outcome (D),Negative last outcome (D),Positive cards (D),Negative cards (D),Frequency of positive cards (D),Frequency of negative cards (D),Best outcome (D),Worst outcome (D),decisions without choosing (D),Won money (D),Lost money (D),Selected deck,Time
99,1050,True,False,True,False,1,0,False,False,0,0,0.5,0.5,0,0,1,0,0,0,False,False,0,0,0.5,0.5,0,0,1,0,0,1,True,False,1,0,1.0,0.0,50,50,0,50,0,0,False,False,0,0,0.5,0.5,0,0,1,0,0,C,
98,1100,True,False,True,False,2,0,False,False,0,0,0.5,0.5,0,0,2,0,0,0,False,False,0,0,0.5,0.5,0,0,2,0,0,2,True,False,2,0,1.0,0.0,50,50,0,100,0,0,False,False,0,0,0.5,0.5,0,0,2,0,0,C,71.0
97,1150,True,False,True,False,3,0,False,False,0,0,0.5,0.5,0,0,3,0,0,0,False,False,0,0,0.5,0.5,0,0,3,0,0,3,True,False,3,0,1.0,0.0,50,50,0,150,0,0,False,False,0,0,0.5,0.5,0,0,3,0,0,C,195.0
96,1200,True,False,True,False,4,0,False,False,0,0,0.5,0.5,0,0,4,0,0,0,False,False,0,0,0.5,0.5,0,0,4,0,0,4,True,False,4,0,1.0,0.0,50,50,0,200,0,0,False,False,0,0,0.5,0.5,0,0,4,0,0,C,71.0
95,1175,False,True,True,False,5,0,False,False,0,0,0.5,0.5,0,0,5,0,0,0,False,False,0,0,0.5,0.5,0,0,5,0,0,5,False,True,4,1,0.8,0.2,50,-25,0,250,75,0,False,False,0,0,0.5,0.5,0,0,5,0,0,C,188.0
94,1225,True,False,True,False,6,0,False,False,0,0,0.5,0.5,0,0,6,0,0,0,False,False,0,0,0.5,0.5,0,0,6,0,0,6,True,False,5,1,0.8333333333333334,0.16666666666666666,50,-25,0,300,75,0,False,False,0,0,0.5,0.5,0,0,6,0,0,C,85.0
93,1200,False,True,True,False,7,0,False,False,0,0,0.5,0.5,0,0,7,0,0,0,False,False,0,0,0.5,0.5,0,0,7,0,0,7,False,True,5,2,0.7142857142857143,0.2857142857142857,50,-25,0,350,150,0,False,False,0,0,0.5,0.5,0,0,7,0,0,C,173.0
92,1250,True,False,True,False,8,0,False,False,0,0,0.5,0.5,0,0,8,0,0,0,False,False,0,0,0.5,0.5,0,0,8,0,0,8,True,False,6,2,0.75,0.25,50,-25,0,400,150,0,False,False,0,0,0.5,0.5,0,0,8,0,0,C,117.0
91,1300,True,False,True,False,9,0,False,False,0,0,0.5,0.5,0,0,9,0,0,0,False,False,0,0,0.5,0.5,0,0,9,0,0,9,True,False,7,2,0.7777777777777778,0.2222222222222222,50,-25,0,450,150,0,False,False,0,0,0.5,0.5,0,0,9,0,0,C,295.0
90,1350,True,False,True,False,10,0,False,False,0,0,0.5,0.5,0,0,10,0,0,0,False,False,0,0,0.5,0.5,0,0,10,0,0,10,True,False,8,2,0.8,0.2,50,-25,0,500,150,0,False,False,0,0,0.5,0.5,0,0,10,0,0,C,107.0
89,1400,True,False,True,False,11,0,False,False,0,0,0.5,0.5,0,0,11,0,0,0,False,False,0,0,0.5,0.5,0,0,11,0,0,11,True,False,9,2,0.8181818181818182,0.18181818181818182,50,-25,0,550,150,0,False,False,0,0,0.5,0.5,0,0,11,0,0,C,173.0
88,1425,True,False,True,False,12,0,False,False,0,0,0.5,0.5,0,0,12,0,0,0,False,False,0,0,0.5,0.5,0,0,12,0,0,12,True,False,10,2,0.8333333333333334,0.16666666666666666,50,-25,0,600,175,0,False,False,0,0,0.5,0.5,0,0,12,0,0,C,102.0
87,1400,False,True,True,False,13,0,False,False,0,0,0.5,0.5,0,0,13,0,0,0,False,False,0,0,0.5,0.5,0,0,13,0,0,13,False,True,10,3,0.7692307692307693,0.23076923076923078,50,-25,0,650,250,0,False,False,0,0,0.5,0.5,0,0,13,0,0,C,192.0
86,1450,True,False,True,False,14,0,False,False,0,0,0.5,0.5,0,0,14,0,0,0,False,False,0,0,0.5,0.5,0,0,14,0,0,14,True,False,11,3,0.7857142857142857,0.21428571428571427,50,-25,0,700,250,0,False,False,0,0,0.5,0.5,0,0,14,0,0,C,101.0
85,1425,False,True,True,False,15,0,False,False,0,0,0.5,0.5,0,0,15,0,0,0,False,False,0,0,0.5,0.5,0,0,15,0,0,15,False,True,11,4,0.7333333333333333,0.26666666666666666,50,-25,0,750,325,0,False,False,0,0,0.5,0.5,0,0,15,0,0,C,166.0
84,1425,True,False,True,False,16,0,False,False,0,0,0.5,0.5,0,0,16,0,0,0,False,False,0,0,0.5,0.5,0,0,16,0,0,16,0,0,12,4,0.75,0.25,50,-25,0,800,375,0,False,False,0,0,0.5,0.5,0,0,16,0,0,C,95.0
83,1475,True,False,True,False,17,0,False,False,0,0,0.5,0.5,0,0,17,0,0,0,False,False,0,0,0.5,0.5,0,0,17,0,0,17,True,False,13,4,0.7647058823529411,0.23529411764705882,50,-25,0,850,375,0,False,False,0,0,0.5,0.5,0,0,17,0,0,C,194.0
82,1525,True,False,True,False,18,0,False,False,0,0,0.5,0.5,0,0,18,0,0,0,False,False,0,0,0.5,0.5,0,0,18,0,0,18,True,False,14,4,0.7777777777777778,0.2222222222222222,50,-25,0,900,375,0,False,False,0,0,0.5,0.5,0,0,18,0,0,C,179.0
81,1575,True,False,True,False,19,0,False,False,0,0,0.5,0.5,0,0,19,0,0,0,False,False,0,0,0.5,0.5,0,0,19,0,0,19,True,False,15,4,0.7894736842105263,0.21052631578947367,50,-25,0,950,375,0,False,False,0,0,0.5,0.5,0,0,19,0,0,C,267.0
80,1625,True,False,True,False,20,0,False,False,0,0,0.5,0.5,0,0,20,0,0,0,False,False,0,0,0.5,0.5,0,0,20,0,0,20,True,False,16,4,0.8,0.2,50,-25,0,1000,375,0,False,False,0,0,0.5,0.5,0,0,20,0,0,C,116.0
79,1625,True,False,True,False,21,0,False,False,0,0,0.5,0.5,0,0,21,0,0,0,False,False,0,0,0.5,0.5,0,0,21,0,0,21,0,0,17,4,0.8095238095238095,0.19047619047619047,50,-25,0,1050,425,0,False,False,0,0,0.5,0.5,0,0,21,0,0,C,178.0
